"STATION","NAME","DATE","PRCP","TAVG"
"IN022023000","NEW DELHI PALAM, IN","2021-12-05",,"19.4"
"IN022023000","NEW DELHI PALAM, IN","2021-12-06","0.0","19.0"
"IN022023000","NEW DELHI PALAM, IN","2021-12-07",,"17.3"
"IN022023000","NEW DELHI PALAM, IN","2021-12-08",,"16.4"
"IN022023000","NEW DELHI PALAM, IN","2021-12-09",,"16.7"
"IN022023000","NEW DELHI PALAM, IN","2021-12-10",,"16.1"
"IN022023000","NEW DELHI PALAM, IN","2021-12-11",,"15.7"
"IN022023000","NEW DELHI PALAM, IN","2021-12-12",,"15.1"
"IN022023000","NEW DELHI PALAM, IN","2021-12-13",,"15.1"
"IN022023000","NEW DELHI PALAM, IN","2021-12-14",,"15.4"
"IN022023000","NEW DELHI PALAM, IN","2021-12-15",,"15.3"
"IN022023000","NEW DELHI PALAM, IN","2021-12-16",,"14.9"
"IN022023000","NEW DELHI PALAM, IN","2021-12-17",,"13.1"
"IN022023000","NEW DELHI PALAM, IN","2021-12-18",,"10.4"
"IN022023000","NEW DELHI PALAM, IN","2021-12-19",,"11.6"
"IN022023000","NEW DELHI PALAM, IN","2021-12-20",,"12.3"
"IN022023000","NEW DELHI PALAM, IN","2021-12-21",,"13.8"
"IN022023000","NEW DELHI PALAM, IN","2021-12-22",,"15.1"
"IN022023000","NEW DELHI PALAM, IN","2021-12-23",,"15.1"
"IN022023000","NEW DELHI PALAM, IN","2021-12-24",,"15.4"
"IN022023000","NEW DELHI PALAM, IN","2021-12-25",,"16.5"
"IN022023000","NEW DELHI PALAM, IN","2021-12-26",,"15.7"
"IN022023000","NEW DELHI PALAM, IN","2021-12-27","3.0","15.7"
"IN022023000","NEW DELHI PALAM, IN","2021-12-28","0.0","14.3"
"IN022023000","NEW DELHI PALAM, IN","2021-12-29",,"13.3"
"IN022023000","NEW DELHI PALAM, IN","2021-12-30",,"11.9"
"IN022023000","NEW DELHI PALAM, IN","2021-12-31",,"11.5"
